course_name,course_credits,course_uni,course_location,application_status,initial_tuition_fee,total_tuition_fee,period,course_dates,level,language_of_instruction,application_code,teaching_form,meetings,pace_of_study,instructional_time,location,subject_areas,top_level_subjects,course_starts,link
Diplomacy and Foreign Policy Analysis,7.5,Linköping University,Linköping,Open for late application,8745,8745,Autumn 2023 Period 1,21 Aug - 24 Sept,Master's,English,LIU-46683,"Course, On-campus",,Full-time,Daytime,Linköping,"Human Rights, Political Science, Social Science and Behavioural Science",Social Science and Behavioural Science,,https://liu.se/en/education/course/733a78
Directing in the Performing Arts - Contemporary Methods and Practices,10,Stockholm University of the Arts,Stockholm,Closed for late application,Information not available,111000,Autumn 2023 Period 1,28 Aug - 15 Oct,Master's,English,SKH-SC130,"Course, Distance",,Full-time,Mixed-time,Stockholm,"Arts, Design and Media, Performing Arts","Arts, Design and Media | Arts | Design and Media",,https://www.uniarts.se/english/courses/courses/directing-in-performing-arts-contemporary-methods-and-practices
Discrete Modelling,7.5,Umeå University,Umeå,Closed for late application,17850,17850,Autumn 2023 Period 2,30 Oct - 3 Dec,Master's,English,UMU-58000,"Course, On-campus",,Full-time,Daytime,Umeå,Mathematics,Mathematics,,http://www.umu.se/english/education/courses-and-programmes/course?code=5MA174
Distributed Systems,7.5,University of Gothenburg,Göteborg,Closed and will not be opened for late application,18625,18625,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,GU-18658,"Course, On-campus",,Half-time,Daytime,Göteborg,Computer Science,Computer Science and Engineering,,https://www.gu.se/en/study-gothenburg/DIT240
"Documentary Film, History, Theory and Practice: Working with the real",30,Linköping University,Norrköping,Cancelled,28995,57990,Autumn 2023 Period 1,,Bachelor's,English,LIU-4Z022,"Course, On-campus",,Half-time,Weekend,Norrköping,"Arts, Design and Media, Film Studies, Film Studies, Media and Communications Studies, Media Production","Arts, Design and Media | Humanities | Arts | Journalism, Communication and Information | Design and Media",4 Sept,https://liu.se/en/education/course/739g47
Downstream processing of biological products,7.5,KTH Royal Institute of Technology,Stockholm,Open for late application,19375,19375,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,KTH-10137,"Course, On-campus",,Half-time,Daytime,Stockholm,Biotechnology,Technology | Natural Science,,https://www.kth.se/student/kurser/kurs/CB2010?startterm=20232&l=en
Dramaturgy and Contemporary Performance,10,Stockholm University of the Arts,Stockholm,Closed for late application,Information not available,111000,Autumn 2023 Period 1,28 Aug - 15 Oct,Master's,English,SKH-SC213,"Course, Distance",,Full-time,Mixed-time,Stockholm,Performing Arts,"Arts, Design and Media",,https://www.uniarts.se/english/courses/courses/dramaturgy-and-contemporary-performance-course
Drug Development,7.5,University of Gothenburg,Göteborg,Closed and will not be opened for late application,15500,15500,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,GU-11650,"Course, On-campus",,Half-time,Daytime,Göteborg,Biology,Natural Science,,https://www.gu.se/en/study-gothenburg/BIO523
Drug Development,7.5,KTH Royal Institute of Technology,Stockholm,Open for late application,19375,19375,Autumn 2023 Period 2,30 Oct - 21 Jan,Master's,English,KTH-10141,"Course, On-campus",,Half-time,Daytime,Stockholm,Biotechnology,Technology | Natural Science,,https://www.kth.se/student/kurser/kurs/CB2090?startterm=20232&l=en
Drug discovery and development,15,University of Gothenburg,Göteborg,Closed and will not be opened for late application,31000,31000,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,GU-11651,"Course, On-campus",,Full-time,Daytime,Göteborg,Biology,Natural Science,,https://www.gu.se/en/study-gothenburg/BIO524
Drug Safety and Pharmacovigilance,7.5,Uppsala University,Varied,Open for late application,18125,18125,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,UU-38501,"Course, Distance",0,Half-time,Mixed-time,Varied,"Biomedicine, Health and Medical Care, Medicine, Pharmacology and Pharmacy, Toxicology",Health and Medical Care | Natural Science,,http://www.uu.se/en/admissions/freestanding-courses/course/?kKod=3FX224&lasar=23%2F24&typ=1
Dynamics of natural populations - from individuals to ecosystems,15,University of Gothenburg,Göteborg,Closed for late application,31000,31000,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,GU-11204,"Course, On-campus",,Full-time,Daytime,Göteborg,Biology,Natural Science,,https://www.gu.se/en/study-gothenburg/BIO214
Early Childhood Education focusing on Mathematics and Technology,12,Stockholm University,Stockholm,Open for late application,25750,25750,Autumn 2023 Period 2,13 Nov - 14 Jan,Bachelor's,English,SU-61838,"Course, On-campus",,Full-time,Daytime,Stockholm,Educational Sciences/Didactics,Education/Educational Sciences/Didactics,,https://sisu.it.su.se/search/info/UB314F/en?eventident=61838&semester=20234
Early Childhood Education focusing on Science and Education for Sustainability,12,Stockholm University,Stockholm,Open for late application,25750,25750,Autumn 2023 Period 1,28 Aug - 15 Oct,Bachelor's,English,SU-61839,"Course, On-campus",,Full-time,Daytime,Stockholm,Educational Sciences/Didactics,Education/Educational Sciences/Didactics,,https://sisu.it.su.se/search/info/UB313F/en?eventident=61839&semester=20234
Early Childhood Education: Explorative Learning,6,Stockholm University,Stockholm,Open for late application,9000,9000,Autumn 2023 Period 1,16 Oct - 12 Nov,Bachelor's,English,SU-61840,"Course, On-campus",,Full-time,Daytime,Stockholm,Educational Sciences/Didactics,Education/Educational Sciences/Didactics,,https://sisu.it.su.se/search/info/UB308F/en?eventident=61840&semester=20234
Early History of Latin America,7.5,Stockholm University,Stockholm,Closed for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 1 Oct,Bachelor's,English,SU-07908,"Course, On-campus",,Full-time,Daytime,Stockholm,Area Studies,Humanities | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/LAS101/en?eventident=07908&semester=20234
Early History of Latin America,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 1 Oct,Bachelor's,English,SU-07030,"Course, On-campus",,Full-time,Daytime,Stockholm,Area Studies,Humanities | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/LAS101/en?eventident=07030&semester=20234
Earth I - Geology,15,Stockholm University,Stockholm,Open for late application,35000,35000,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,SU-59469,"Course, Distance",2,Full-time,Daytime,Stockholm,Earth Science,Natural Science,,https://sisu.it.su.se/search/info/GG2008/en?eventident=59469&semester=20234
Earth I - Geology,15,Stockholm University,Stockholm,Open for late application,35000,35000,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,SU-59475,"Course, Distance",2,Half-time,Daytime,Stockholm,Earth Science,Natural Science,,https://sisu.it.su.se/search/info/GG2008/en?eventident=59475&semester=20234
Earth Science - Specialisation,15,Stockholm University,Varied,Open for late application,35000,35000,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,SU-58326,"Course, Distance",0,Half-time,Daytime,Varied,Earth Science,Natural Science,,https://sisu.it.su.se/search/info/GE5040/en?eventident=58326&semester=20234
Earth Science - Specialisation,15,Stockholm University,Varied,Open for late application,35000,35000,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,SU-58327,"Course, Distance",0,Full-time,Daytime,Varied,Earth Science,Natural Science,,https://sisu.it.su.se/search/info/GE5040/en?eventident=58327&semester=20234
Earth Science Excursion 1,15,University of Gothenburg,Göteborg,Open for late application,22250,22250,Autumn 2023 Period 1,25 Sept - 3 Dec,Master's,English,GU-11452,"Course, On-campus",,Full-time,Daytime,Göteborg,Earth Science,Natural Science,,https://www.gu.se/en/study-gothenburg/GV4000
"Earth Science, Degree Project",15,Stockholm University,Stockholm,Submit your application on an external website.,35000,35000,Autumn 2023 Period 1,,Bachelor's,Swedish,SU-59440,"Course, On-campus",,Half-time,Daytime,Stockholm,Earth Science,Natural Science,,https://sisu.it.su.se/search/info/GG6117/en?eventident=59440&semester=20234
Earth System Sciences,7.5,University of Gothenburg,Göteborg,Open for late application,15500,15500,Autumn 2023 Period 2,30 Oct - 3 Dec,Bachelor's,English,GU-11403,"Course, On-campus",,Full-time,Daytime,Göteborg,Earth Science,Natural Science,,https://www.gu.se/en/study-gothenburg/GV0340
Eastern Christian Liturgics,7.5,University College Stockholm,Södertälje,Open for late application,10000,10000,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,EHS-OL111,"Course, On-campus",,Half-time,Daytime,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/?post_type=course&p=26536&preview=true
"Eastern Christian Liturgics, Distance Education",7.5,University College Stockholm,Södertälje,Open for late application,5000,5000,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,EHS-OL121,"Course, Distance",,Half-time,Mixed-time,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/?post_type=course&p=26540&preview=true
Eastern Christian Theology - Byzantine Orthodox,7.5,University College Stockholm,Södertälje,Open for late application,10000,10000,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,EHS-OT315,"Course, On-campus",,Half-time,Daytime,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/kurser/ht-2023-2024-eastern-christian-theology-byzantine-orthodox-5ot315/?preview=true
Eastern Christian Theology - Coptic Orthodox,7.5,University College Stockholm,Södertälje,Open for late application,10000,10000,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,EHS-OT313,"Course, On-campus",,Half-time,Daytime,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/kurser/ht-2023-2024-eastern-christian-theology-coptic-orthodox-5ot313/?preview=true
Eastern Christian Theology - Syriac Orthodox,7.5,University College Stockholm,Södertälje,Open for late application,10000,10000,Autumn 2023 Period 1,28 Aug - 12 Nov,Bachelor's,English,EHS-OT310,"Course, On-campus",,Half-time,Daytime,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/kurser/ht-2023-2024-eastern-christian-theology-syriac-orthodox-5ot310/?preview=true
Eastern Christian Theology - Tewahedo Orthodox,7.5,University College Stockholm,Södertälje,Open for late application,10000,10000,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,EHS-OT314,"Course, On-campus",,Half-time,Daytime,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/kurser/ht-2023-2024-eastern-christian-theology-tewahedo-orthodox-5ot314/?preview=true
"Eat - Food Culture, Materiality and Design",15,University of Gothenburg,Göteborg,Closed and will not be opened for late application,72250,72250,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,GU-15006,"Course, On-campus",,Half-time,Mixed-time,Göteborg,Design,"Arts, Design and Media",,https://www.gu.se/en/study-gothenburg/FKGEAT
Ecclesiology and Canon Law in Eastern Christianity,7.5,University College Stockholm,Södertälje,Open for late application,10000,10000,Autumn 2023 Period 1,6 Nov - 14 Jan,Bachelor's,English,EHS-OE212,"Course, On-campus",,Half-time,Daytime,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/kurser/ht-2023-2024-ecclesiology-and-canon-law-in-eastern-christianity-5oe212/?preview=true
"Ecclesiology and Canon Law in Eastern Christianity, Distance",7.5,University College Stockholm,Södertälje,Open for late application,5000,5000,Autumn 2023 Period 1,6 Nov - 14 Jan,Bachelor's,English,EHS-OE222,"Course, Distance",,Half-time,Mixed-time,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/kurser/ht-2023-2024-ecclesiology-and-canon-law-in-eastern-christianity-distance-5oe222/?preview=true
Ecological disturbances in forests - silvicultural challenges under climate change,15,Swedish University of Agricultural Sciences,Umeå,Open for late application,38060,38060,Autumn 2023 Period 2,30 Oct - 14 Jan,Bachelor's,English,SLU-20152,"Course, On-campus",,Full-time,Daytime,Umeå,Biology,Natural Science,,https://www.slu.se/en/education/programmes-courses/course/b0ffd739-5917-11ed-a806-5f53db194482
"Ecology and Biodiversity, Degree Project",30,Stockholm University,Stockholm,Open for late application,70000,70000,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-56031,"Course, On-campus",,Full-time,Daytime,Stockholm,Biology,Natural Science,,https://sisu.it.su.se/search/info/BL9059/en?eventident=56031&semester=20234
Ecology and Management of Diseases and Pests of Forest Trees,15,Swedish University of Agricultural Sciences,Uppsala,Open for late application,38060,38060,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,SLU-10322,"Course, Distance",1,Full-time,Daytime,Uppsala,"Biology, Forestry","Agriculture, Horticulture, Forestry and Fishery | Natural Science",,https://www.slu.se/en/education/programmes-courses/course/5df420fb-5523-11ed-a806-5f53db194482
"Ecology and Sustainable Development, Master's Programme",120,Linköping University,Linköping,Closed for late application,63000,252000,Autumn 2023 Period 1,,Master's,English,LIU-91108,"Programme, On-campus",,Full-time,Daytime,Linköping,"Biology, Conservation Biology, Ecology, Natural Science",Natural Science,21 Aug,https://liu.se/en/education/program/6mesd
Ecology for Fish Management and Conservation,15,Swedish University of Agricultural Sciences,Uppsala,Open for late application,38060,38060,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,SLU-10417,"Course, On-campus",,Full-time,Daytime,Uppsala,"Biology, Environmental Science, Care and Protection",Care and Protection | Environmental Science | Natural Science,,https://www.slu.se/en/education/programmes-courses/course/c6471ea7-4a1d-11ed-8e62-1d9cdd564588
Econometrics,7.5,Dalarna University,Borlänge,Open for late application,16875,16875,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,HDA-H3FCT,"Course, On-campus",,Half-time,Daytime,Borlänge,Economics,Business Administration and Economics,,http://www.du.se/redirect/course.aspx?language=en&code=NA3011&applicationcode=H3FCT
Economic analyses of forestry problems,7.5,Swedish University of Agricultural Sciences,Umeå,Open for late application,13090,13090,Autumn 2023 Period 2,30 Oct - 3 Dec,Bachelor's,English,SLU-20146,"Course, On-campus",,Full-time,Daytime,Umeå,"Business Administration, Business Administration and Economics, Economics",Business Administration and Economics,,https://www.slu.se/en/education/programmes-courses/course/b818ec75-7c5c-11ed-ba16-099432b5488e
Economic geology,7.5,University of Gothenburg,Göteborg,Open for late application,15500,15500,Autumn 2023 Period 2,30 Oct - 3 Dec,Bachelor's,English,GU-11404,"Course, On-campus",,Full-time,Daytime,Göteborg,Earth Science,Natural Science,,https://www.gu.se/en/study-gothenburg/GVG370
Economic Growth and Sustainable Development,7.5,Swedish University of Agricultural Sciences,Uppsala,Open for late application,13090,13090,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SLU-20177,"Course, On-campus",,Half-time,Daytime,Uppsala,Economics,Business Administration and Economics,,https://www.slu.se/en/education/programmes-courses/course/5f1d10b1-54fe-11ed-a806-5f53db194482
Economic Policy Evaluation,7.5,Karlstad University,Karlstad,Open for late application,21000,21000,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,KAU-41413,"Course, On-campus",,Half-time,Daytime,Karlstad,Economics,Business Administration and Economics,,http://www.kau.se/en/education/programmes-and-courses/courses/NEAD27?occasion=41413
Economical Process Analysis and Strategy,6,KTH Royal Institute of Technology,Stockholm,Open for late application,15500,15500,Autumn 2023 Period 2,30 Oct - 21 Jan,Master's,English,KTH-10086,"Course, On-campus",,33%,Daytime,Stockholm,Materials Technology,"Materials, Construction and Manufacturing",,https://www.kth.se/student/kurser/kurs/MH2501?startterm=20232&l=en
Economics - Bachelor's Thesis,15,Karlstad University,Karlstad,Open for late application,42000,42000,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,KAU-41432,"Course, On-campus",,Half-time,Daytime,Karlstad,Economics,Business Administration and Economics,,http://www.kau.se/en/education/programmes-and-courses/courses/NEGC04?occasion=41432
Economics A101,30,Umeå University,Umeå,Open for late application,46500,46500,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,UMU-23002,"Course, On-campus",,Full-time,Daytime,Umeå,Economics,Business Administration and Economics,,http://www.umu.se/english/education/courses-and-programmes/course?code=2NE061
Economics A101:1,15,Umeå University,Umeå,Open for late application,23250,23250,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,UMU-23005,"Course, On-campus",,Full-time,Daytime,Umeå,Economics,Business Administration and Economics,,http://www.umu.se/english/education/courses-and-programmes/course?code=2NE065
Economics A101:2,15,Umeå University,Umeå,Open for late application,23250,23250,Autumn 2023 Period 2,30 Oct - 14 Jan,Bachelor's,English,UMU-23014,"Course, On-campus",,Full-time,Daytime,Umeå,Economics,Business Administration and Economics,,http://www.umu.se/english/education/courses-and-programmes/course?code=2NE066
Economics B,30,Södertörn University,Huddinge,Open for late application,45990,45990,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,SH-43107,"Course, On-campus",,Full-time,Daytime,Huddinge,Economics,Business Administration and Economics,,https://sh.se/study?code=NE005G&lang=en
Economics B100,30,Umeå University,Umeå,Open for late application,46500,46500,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,UMU-23009,"Course, On-campus",,Full-time,Daytime,Umeå,Economics,Business Administration and Economics,,http://www.umu.se/english/education/courses-and-programmes/course?code=2NE062
Economics B100:1,15,Umeå University,Umeå,Open for late application,23250,23250,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,UMU-23042,"Course, On-campus",,Full-time,Daytime,Umeå,Economics,Business Administration and Economics,,http://www.umu.se/english/education/courses-and-programmes/course?code=2NE067
Economics C,30,Södertörn University,Huddinge,Cancelled,45990,45990,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,SH-43108,"Course, On-campus",,Full-time,Daytime,Huddinge,Economics,Business Administration and Economics,,https://sh.se/study?code=NE006G&lang=en
Economics C100:1,15,Umeå University,Umeå,Open for late application,23250,23250,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,UMU-23012,"Course, On-campus",,Full-time,Daytime,Umeå,"Business Administration and Economics, Economics",Business Administration and Economics,,http://www.umu.se/english/education/courses-and-programmes/course?code=2NE047
Economics C100:2,15,Umeå University,Umeå,Open for late application,23250,23250,Autumn 2023 Period 2,30 Oct - 14 Jan,Bachelor's,English,UMU-23018,"Course, On-campus",,Full-time,Daytime,Umeå,"Business Administration and Economics, Economics",Business Administration and Economics,,http://www.umu.se/english/education/courses-and-programmes/course?code=2NE069
Economics of Human Sexuality,7.5,Karlstad University,Karlstad,Open for late application,21000,21000,Autumn 2023 Period 1,28 Aug - 1 Oct,Bachelor's,English,KAU-43446,"Course, On-campus",,Full-time,Daytime,Karlstad,"Economics, Gender Studies, Political Science, Sociology",Humanities | Business Administration and Economics | Social Science and Behavioural Science,,http://www.kau.se/en/education/programmes-and-courses/courses/NEGB17?occasion=43446
Economics of Leadership,7.5,Dalarna University,Borlänge,Open for late application,10875,10875,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,HDA-H3FCV,"Course, On-campus",,Half-time,Daytime,Borlänge,Economics,Business Administration and Economics,,http://www.du.se/redirect/course.aspx?language=en&code=ANA235&applicationcode=H3FCV
"Economics, master programme",120,Linnaeus University (Kalmar Växjö),Växjö,Closed for late application,60400,236400,Autumn 2023 Period 1,,Master's,English,LNU-F1962,"Programme, On-campus",,Full-time,Daytime,Växjö,"Business Administration and Economics, Economics, Mathematical Statistics, Numerical Analysis",Business Administration and Economics | Mathematics,28 Aug,https://lnu.se/en/programme/EANA2/20232/F1962
"Economics, Master's Programme (INT)",120,Södertörn University,Huddinge,Closed and will not be opened for late application,46000,184000,Autumn 2023 Period 1,,Master's,English,SH-43059,"Programme, On-campus",,Full-time,Daytime,Huddinge,Economics,Business Administration and Economics,28 Aug,https://sh.se/study?code=P1744&lang=en
Economics: Master's Programme,120,Södertörn University,Huddinge,Closed for late application,46000,184000,Autumn 2023 Period 1,,Master's,English,SH-43094,"Programme, On-campus",,Full-time,Daytime,Huddinge,Economics,Business Administration and Economics,28 Aug,https://sh.se/study?code=P4302&lang=en
Ecosystem Management,7.5,Södertörn University,Huddinge,Open for late application,14685,14685,Autumn 2023 Period 1,28 Aug - 1 Oct,Master's,English,SH-44078,"Course, On-campus",,Full-time,Daytime,Huddinge,"Environmental Science, Care and Protection",Care and Protection | Environmental Science,,https://sh.se/study?code=MJ003A&lang=en
Ecosystems and Business Model Innovation,4,Halmstad University,Varied,Closed and will not be opened for late application,9600,9600,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,HH-10622,"Course, Distance learning",0,33%,Mixed-time,Varied,"Industrial Economics, Organisation and Management",Organisation and Management | Industrial Economics,,http://utbildning.hh.se/utb_kurstillfalle.asp?KtAnmKod=10622&KtTermin=20232
Ecosystems in a Changing World,15,Karlstad University,Karlstad,Open for late application,42000,42000,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,KAU-41554,"Course, On-campus",,Full-time,Daytime,Karlstad,Biology,Natural Science,,http://www.kau.se/en/education/programmes-and-courses/courses/BIAD11?occasion=41554
Ecosystems in a Changing World,15,Karlstad University,Karlstad,Open for late application,42000,42000,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,KAU-41555,"Course, Distance",,Full-time,Daytime,Karlstad,Biology,Natural Science,,http://www.kau.se/en/education/programmes-and-courses/courses/BIAD11?occasion=41555
"Ecotechnology, 180 credits",180,Mid Sweden University,Östersund,Closed for late application,51000,306000,Autumn 2023 Period 1,,Bachelor's,English,MIU-B4M21,"Programme, On-campus",,Full-time,Daytime,Östersund,"Environmental Science, Care and Protection, Environmental Techniques and Energy Technology",Care and Protection | Environmental Science | Natural Science | Technology,28 Aug,https://www.miun.se/en/education/programmes/show-program/?code=NEKOG&term=ht2023-vt2024
"Ecotechnology, 180 credits",180,Mid Sweden University,Östersund,Open for late application,62500,305000,Autumn 2023 Period 1,,Bachelor's,English,MIU-B4193,"Programme, On-campus",,Full-time,Daytime,Östersund,"Environmental Science, Care and Protection, Environmental Techniques and Energy Technology",Care and Protection | Environmental Science | Natural Science | Technology,28 Aug,https://www.miun.se/en/education/programmes/show-program/?code=NEKOG&term=ht2023-vt2024
Ecotoxicology,15,Stockholm University,Stockholm,Open for late application,35000,35000,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,SU-56068,"Course, On-campus",,Full-time,Daytime,Stockholm,Biology,Natural Science,,https://sisu.it.su.se/search/info/BL5012/en?eventident=56068&semester=20234
"Ecotoxicology, Master's Programme",120,University of Gothenburg,Göteborg,Closed for late application,62000,248000,Autumn 2023 Period 1,,Master's,English,GU-6A12F,"Programme, On-campus",,Full-time,Daytime,Göteborg,"Ecotoxicology, Environmental Science, Care and Protection",Care and Protection | Environmental Science | Natural Science,28 Aug,https://www.gu.se/en/study-gothenburg/N2TOX
"Ecotoxicology, Master's Programme",120,University of Gothenburg,Göteborg,Closed for late application,62000,248000,Autumn 2023 Period 1,,Master's,English,GU-1A12H,"Programme, On-campus",,Full-time,Daytime,Göteborg,"Ecotoxicology, Environmental Science, Care and Protection",Care and Protection | Environmental Science | Natural Science,28 Aug,https://www.gu.se/en/study-gothenburg/N2TOX
Editing and Publishing in English,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,SU-19629,"Course, On-campus",,Half-time,Daytime,Stockholm,English,Languages,,https://sisu.it.su.se/search/info/ENEP75/en?eventident=19629&semester=20234
"Editing and Transcribing Premodern Texts: Digital Tools, Methods and Resources",7.5,Lund University,Varied,Closed for late application,13750,13750,Autumn 2023 Period 2,23 Oct - 14 Jan,Bachelor's,English,LU-E1003,"Course, Distance",0,Half-time,Mixed-time,Varied,Humanities,Humanities,,http://www.lunduniversity.lu.se/lubas/i-uoh-lu-HUXD01/E1003
Education for Sustainable Development,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 1,25 Sept - 29 Oct,Master's,English,SU-34811,"Course, On-campus",,Full-time,Daytime,Stockholm,Education,Education/Educational Sciences/Didactics,,https://sisu.it.su.se/search/info/PEA473/en?eventident=34811&semester=20234
Education for Sustainable Development - an introduction,15,University of Gothenburg,Varied,Closed and will not be opened for late application,22250,22250,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,GU-19250,"Course, Distance",0,Full-time,Mixed-time,Varied,Educational Sciences/Didactics,Education/Educational Sciences/Didactics,,https://www.gu.se/en/study-gothenburg/ESD101
"Education for Sustainable Development, Master's Programme",120,University of Gothenburg,Varied,Closed and will not be opened for late application,44500,178000,Autumn 2023 Period 1,,Master's,English,GU-1A92A,"Programme, Distance",0,Full-time,Mixed-time,Varied,Education/Educational Sciences/Didactics,Education/Educational Sciences/Didactics,28 Aug,https://www.gu.se/en/study-gothenburg/S2ESD
"Education for Sustainable Development, Master's Programme",120,University of Gothenburg,Varied,Closed for late application,44500,178000,Autumn 2023 Period 1,,Master's,English,GU-6A92A,"Programme, Distance",0,Full-time,Mixed-time,Varied,Education/Educational Sciences/Didactics,Education/Educational Sciences/Didactics,28 Aug,https://www.gu.se/en/study-gothenburg/S2ESD
Education in Multicultural Society,15,Stockholm University,Stockholm,Closed for late application,22500,22500,Autumn 2023 Period 2,30 Oct - 14 Jan,Bachelor's,English,SU-34743,"Course, On-campus",,Full-time,Daytime,Stockholm,Education,Education/Educational Sciences/Didactics,,https://sisu.it.su.se/search/info/PEG104/en?eventident=34743&semester=20234
Education in Multicultural Society,15,Stockholm University,Stockholm,Open for late application,22500,22500,Autumn 2023 Period 2,30 Oct - 14 Jan,Bachelor's,English,SU-34801,"Course, On-campus",,Full-time,Daytime,Stockholm,Education,Education/Educational Sciences/Didactics,,https://sisu.it.su.se/search/info/PEG104/en?eventident=34801&semester=20234
"Education: Educational Theory, Master's Programme (Two-Year)",120,Malmö University,Malmö,Closed for late application,48750,195000,Autumn 2023 Period 1,,Master's,English,MAU-36204,"Programme, On-campus",,Full-time,Daytime,Malmö,Education,Education/Educational Sciences/Didactics,28 Aug,https://mau.se/en/study-education/programme/LAPET
"Education: Educational Theory, Master's Programme (Two-Year)",120,Malmö University,Malmö,Open for late application,48750,195000,Autumn 2023 Period 1,,Master's,English,MAU-36203,"Programme, On-campus",,Full-time,Daytime,Malmö,Education,Education/Educational Sciences/Didactics,28 Aug,https://mau.se/en/study-education/programme/LAPET
Education: Teaching and Learning in an International Context,7.5,Umeå University,Umeå,Closed and will not be opened for late application,11625,11625,Autumn 2023 Period 1,25 Sept - 5 Nov,Bachelor's,English,UMU-F6455,"Course, On-campus",,Full-time,Daytime,Umeå,"Education, Educational Sciences/Didactics",Education/Educational Sciences/Didactics,,http://www.umu.se/english/education/courses-and-programmes/course?code=6PE193
Education: Teaching and Learning in an International Context,7.5,Umeå University,Umeå,Open for late application,11625,11625,Autumn 2023 Period 1,25 Sept - 5 Nov,Bachelor's,English,UMU-61450,"Course, On-campus",,Full-time,Daytime,Umeå,"Education, Educational Sciences/Didactics",Education/Educational Sciences/Didactics,,http://www.umu.se/english/education/courses-and-programmes/course?code=6PE193
Educational Management and Leadership,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 1,25 Sept - 29 Oct,Master's,English,SU-34810,"Course, On-campus",,Full-time,Daytime,Stockholm,Education,Education/Educational Sciences/Didactics,,https://sisu.it.su.se/search/info/PEA474/en?eventident=34810&semester=20234
Effective Communication in English,15,Stockholm University,Stockholm,Open for late application,22500,22500,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,SU-19632,"Course, On-campus",,Half-time,Mixed-time,Stockholm,English,Languages,,https://sisu.it.su.se/search/info/ENEC14/en?eventident=19632&semester=20234
Efficient algorithms,7.5,Umeå University,Umeå,Open for late application,17850,17850,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,UMU-57209,"Course, On-campus",,Half-time,Daytime,Umeå,Computer Science,Computer Science and Engineering,,http://www.umu.se/english/education/courses-and-programmes/course?code=5DV182
