subject_areas,Top_Level_Subjects
Chemistry,['Natural Science']
Chemistry,['Natural Science']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
Computer Science,['Computer Science and Engineering']
Information Systems,['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
"Computer Science, Logic","['Computer Science and Engineering', 'Mathematics']"
Biology,['Natural Science']
"Agriculture, Horticulture, Forestry and Fishery, Biology, Forestry, Natural Science","['Natural Science', 'Agriculture, Horticulture, Forestry and Fishery', 'Agriculture', 'Forestry and Fishery', 'Horticulture']"
Astronomy,['Natural Science']
Astronomy,['Natural Science']
Mathematics,['Mathematics']
Computer Science,['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
"Media Production, Media Technology","['Arts, Design and Media', 'Technology']"
"Computer Science and Engineering, Game development",['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
"Computer Science and Engineering, Game development",['Computer Science and Engineering']
Ethnology,['Humanities']
Education,['Education/Educational Sciences/Didactics']
"Comparative Literature, Cultural Studies, Film Studies, Gender Studies, History and Theory of Arts, Humanities, Social Science and Behavioural Science","['Arts, Design and Media', 'Humanities', 'Social Science and Behavioural Science']"
"Gender Studies, Gender Studies","['Humanities', 'Social Science and Behavioural Science']"
Social Anthropology,['Social Science and Behavioural Science']
Languages,['Languages']
"Gender Studies, Humanities, Psychology, Social Science and Behavioural Science","['Health and Medical Care', 'Humanities', 'Social Science and Behavioural Science']"
Gender Studies,"['Humanities', 'Social Science and Behavioural Science']"
Gender Studies,"['Humanities', 'Social Science and Behavioural Science']"
Gender Studies,"['Humanities', 'Social Science and Behavioural Science']"
Gender Studies,"['Humanities', 'Social Science and Behavioural Science']"
Gender Studies,"['Humanities', 'Social Science and Behavioural Science']"
"Gender Studies, Gender Studies","['Humanities', 'Social Science and Behavioural Science']"
"Gender Studies, Gender Studies","['Humanities', 'Social Science and Behavioural Science']"
Gender Studies,"['Humanities', 'Social Science and Behavioural Science']"
Gender Studies,"['Humanities', 'Social Science and Behavioural Science']"
Gender Studies,"['Humanities', 'Social Science and Behavioural Science']"
"Global Health, Health and Medical Care, Public Health",['Health and Medical Care']
"Gender Studies, Gender Studies","['Humanities', 'Social Science and Behavioural Science']"
Peace and Development Studies,['Social Science and Behavioural Science']
Gender Studies,"['Humanities', 'Social Science and Behavioural Science']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Molecular Biology,['Natural Science']
"Bioinformatics, Biology","['Natural Science', 'Computer Science and Engineering']"
Earth Science,['Natural Science']
Earth Science,['Natural Science']
Earth Science,['Natural Science']
Earth Science,['Natural Science']
Earth Science,['Natural Science']
"Community Planning, Human Geography and Geography, Information Technology, Social Science","['Natural Science', 'Technology', 'Materials, Construction and Manufacturing', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
"Community Planning, Human Geography and Geography, Information Technology, Social Science","['Natural Science', 'Technology', 'Materials, Construction and Manufacturing', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
Community Planning,"['Materials, Construction and Manufacturing']"
Surveying and Geographic Information Technology,"['Materials, Construction and Manufacturing']"
Earth Science,['Natural Science']
"Technology, Wood Technology","['Materials, Construction and Manufacturing', 'Technology']"
"Technology, Wood Technology","['Materials, Construction and Manufacturing', 'Technology']"
Earth Science,['Natural Science']
Earth Science,['Natural Science']
Earth Science,['Natural Science']
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Earth Science,['Natural Science']
Media and Communications Studies,"['Journalism, Communication and Information']"
Meteorology,['Natural Science']
Languages,['Languages']
"German, Languages",['Languages']
German,['Languages']
German,['Languages']
German,['Languages']
"German, Languages",['Languages']
German,['Languages']
"German, Languages",['Languages']
German,['Languages']
German,['Languages']
German,['Languages']
German,['Languages']
"Comparative Literature, German","['Humanities', 'Languages']"
German,['Languages']
"German, Languages",['Languages']
German,['Languages']
German,['Languages']
German,['Languages']
"German, Languages",['Languages']
"German, Languages",['Languages']
German,['Languages']
"German, Languages",['Languages']
German,['Languages']
"German, Languages",['Languages']
"Technology, Wood Technology","['Materials, Construction and Manufacturing', 'Technology']"
Human Geography and Geography,"['Natural Science', 'Social Science and Behavioural Science']"
Human Geography and Geography,"['Natural Science', 'Social Science and Behavioural Science']"
Human Geography and Geography,"['Natural Science', 'Social Science and Behavioural Science']"
Surveying and Geographic Information Technology,"['Materials, Construction and Manufacturing']"
Surveying and Geographic Information Technology,"['Materials, Construction and Manufacturing']"
Forestry,"['Agriculture, Horticulture, Forestry and Fishery']"
Civil and Environmental Engineering,"['Materials, Construction and Manufacturing']"
Human Geography and Geography,"['Natural Science', 'Social Science and Behavioural Science']"
"Business Administration and Economics, Cultural Studies, Economic History, Economics, Ethnology, History of Science and Ideas, Humanities","['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Peace and Development Studies, Political Science",['Social Science and Behavioural Science']
"Peace and Development Studies, Political Science",['Social Science and Behavioural Science']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
"Music, Musicology","['Arts, Design and Media', 'Humanities']"
Global Studies,['Social Science and Behavioural Science']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
"Industrial Economics, Organisation and Management","['Organisation and Management', 'Industrial Economics']"
Forestry,"['Agriculture, Horticulture, Forestry and Fishery']"
Global Studies,['Social Science and Behavioural Science']
Global Studies,['Social Science and Behavioural Science']
Global Studies,['Social Science and Behavioural Science']
Earth Science,['Natural Science']
Political Science,['Social Science and Behavioural Science']
Nursing Science and Nursing,['Health and Medical Care']
Public Health,['Health and Medical Care']
"Global Health, Health and Medical Care, Nursing Science and Nursing, Occupational Therapy, Physiotherapy",['Health and Medical Care']
"Global Health, Public Health",['Health and Medical Care']
"Human Rights, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Business Administration, Business Administration and Economics, International Business Management",['Business Administration and Economics']
Religious Studies,['Religious Studies']
Social Work and Welfare,"['Social Work and Welfare', 'Social Science and Behavioural Science']"
Global Studies,['Social Science and Behavioural Science']
"Innovation Technology, Materials, Construction and Manufacturing, Project Management, Technology, Technology in a Social Perspective","['Technology', 'Business Administration and Economics', 'Health and Medical Care', 'Materials', 'Construction and Manufacturing', 'Social Science and Behavioural Science']"
"Innovation Technology, Materials, Construction and Manufacturing, Project Management, Technology, Technology in a Social Perspective","['Technology', 'Business Administration and Economics', 'Health and Medical Care', 'Materials', 'Construction and Manufacturing', 'Social Science and Behavioural Science']"
"Global Health, Health and Medical Care, Public Health",['Health and Medical Care']
"Global Health, Health and Medical Care, Public Health",['Health and Medical Care']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Computer Science and Engineering,['Computer Science and Engineering']
Global Studies,['Social Science and Behavioural Science']
Global Studies,['Social Science and Behavioural Science']
Global Studies,['Social Science and Behavioural Science']
Global Studies,['Social Science and Behavioural Science']
Global Studies,['Social Science and Behavioural Science']
"Humanities, Philosophy and Logic",['Humanities']
"Humanities, Philosophy and Logic",['Humanities']
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Human Geography and Geography,"['Natural Science', 'Social Science and Behavioural Science']"
Political Science,['Social Science and Behavioural Science']
Public Health,['Health and Medical Care']
,['']
,['']
Mathematics,['Mathematics']
"Arts, Design and Media, Design","['Arts, Design and Media', 'Arts', 'Design and Media']"
Computer Science,['Computer Science and Engineering']
Greek,['Languages']
Biology,['Natural Science']
Circus,"['Arts, Design and Media']"
Circus,"['Arts, Design and Media']"
Circus,"['Arts, Design and Media']"
Circus,"['Arts, Design and Media']"
Circus,"['Arts, Design and Media']"
Comparative Literature,['Humanities']
Public Health,['Health and Medical Care']
Medical Technologies,['Health and Medical Care']
"Health and Medical Care, Leadership, Organisation and Management","['Health and Medical Care', 'Leadership', 'Organisation and Management']"
"Medicine, Nursing Science and Nursing, Public Health",['Health and Medical Care']
"Business Administration and Economics, Global Health, Health and Medical Care, Public Health","['Health and Medical Care', 'Business Administration and Economics']"
"Business Administration and Economics, Global Health, Health and Medical Care, Public Health","['Health and Medical Care', 'Business Administration and Economics']"
Public Health,['Health and Medical Care']
"Entrepreneurship, Global Health, Public Health","['Health and Medical Care', 'Technology', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
Social Work and Welfare,"['Social Work and Welfare', 'Social Science and Behavioural Science']"
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
"Natural Science, Social Science","['Natural Science', 'Social Science and Behavioural Science']"
"Global Health, Health and Medical Care, Public Health",['Health and Medical Care']
Health and Medical Service Development,['Health and Medical Care']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Mathematics,['Mathematics']
Computer Science,['Computer Science and Engineering']
Technology,['Technology']
"Cognitive Science, Psychology","['Health and Medical Care', 'Humanities', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
"Cognitive Science, Psychology","['Health and Medical Care', 'Humanities', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Languages,['Languages']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
"Cultural Studies, History, Social Psychology, Sociology","['Humanities', 'Social Science and Behavioural Science']"
History,['Humanities']
History,['Humanities']
"European Studies, European Studies, Political Science","['Humanities', 'Social Science and Behavioural Science']"
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
Logic,['Mathematics']
"History and Theory of Arts, Religious Studies","['Religious Studies', 'Arts, Design and Media', 'Humanities']"
Mathematics,['Mathematics']
Mathematics,['Mathematics']
"Biology, Genetics, Horticultural Science, Landscape Architecture, Marketing","['Arts, Design and Media', 'Natural Science', 'Agriculture, Horticulture, Forestry and Fishery', 'Business Administration and Economics', 'Materials, Construction and Manufacturing']"
"Biology, Horticultural Science","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
Tourism and Recreation Studies,['Social Science and Behavioural Science']
Human Geography and Geography,"['Natural Science', 'Social Science and Behavioural Science']"
Human Geography and Geography,"['Natural Science', 'Social Science and Behavioural Science']"
"Ergonomics, Health and Medical Service Development, Occupational Therapy, Physiotherapy, Wellness",['Health and Medical Care']
Biology,['Natural Science']
"Business Administration, Human Resources","['Business Administration and Economics', 'Social Science and Behavioural Science']"
"Human Rights, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Human Rights, Social Science and Behavioural Science",['Social Science and Behavioural Science']
Human Rights,['Social Science and Behavioural Science']
Human Rights,['Social Science and Behavioural Science']
Human Rights,['Social Science and Behavioural Science']
Human Rights,['Social Science and Behavioural Science']
Education,['Education/Educational Sciences/Didactics']
"Ethics, History, Human Rights, Political Science, Practical Philosophy, Sociology","['Religious Studies', 'Humanities', 'Social Science and Behavioural Science']"
Human Rights,['Social Science and Behavioural Science']
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Human Rights,['Social Science and Behavioural Science']
Law and Legal Studies,['Law and Legal Studies']
Law and Legal Studies,['Law and Legal Studies']
"Cognitive Science, Information Systems, Information Technology","['Technology', 'Humanities', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
"Cognitive Science, Information Systems, Information Technology","['Technology', 'Humanities', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
Earth Science,['Natural Science']
"Biology, Horticultural Science","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
Religious Studies,['Religious Studies']
,['']
Earth Science,['Natural Science']
Radiation Physics,"['Health and Medical Care', 'Natural Science']"
Social Science,['Social Science and Behavioural Science']
Biology,['Natural Science']
Molecular Biology,['Natural Science']
Molecular Biology,['Natural Science']
History,['Humanities']
Electrical Engineering,['Technology']
English,['Languages']
English,['Languages']
English,['Languages']
English,['Languages']
"Cultural Studies, Global Studies, History, History of Science and Ideas, Humanities, Sociology","['Humanities', 'Social Science and Behavioural Science']"
Agricultural Science,"['Agriculture, Horticulture, Forestry and Fishery']"
Agricultural Science,"['Agriculture, Horticulture, Forestry and Fishery']"
Animal Science,"['Agriculture, Horticulture, Forestry and Fishery']"
Bioinformatics,"['Natural Science', 'Computer Science and Engineering']"
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Landscape Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
Landscape Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
Landscape Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
Horticultural Science,"['Agriculture, Horticulture, Forestry and Fishery']"
Horticultural Science,"['Agriculture, Horticulture, Forestry and Fishery']"
Landscape Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
Wood Technology,"['Materials, Construction and Manufacturing']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Surveying and Geographic Information Technology,"['Materials, Construction and Manufacturing']"
"Global Health, Social Science","['Health and Medical Care', 'Social Science and Behavioural Science']"
"Aesthetics, Ergonomics, Human-Computer Interaction, Materials, Construction and Manufacturing, Product Development, Technical Design, Technology","['Arts, Design and Media', 'Materials', 'Technology', 'Computer Science and Engineering', 'Health and Medical Care', 'Construction and Manufacturing']"
"Environmental Techniques and Energy Technology, Technology, Technology in a Social Perspective","['Technology', 'Natural Science', 'Social Science and Behavioural Science']"
"Entrepreneurship, Industrial Economics, Organisation and Management, Quality Technology, Technology","['Industrial Economics', 'Technology', 'Business Administration and Economics', 'Organisation and Management', 'Health and Medical Care', 'Social Science and Behavioural Science']"
Engineering (Bachelor of Science),['Engineering (Bachelor of Science)']
Natural Science,['Natural Science']
Economics,['Business Administration and Economics']
Economics,['Business Administration and Economics']
"Industrial Economics, Organisation and Management","['Organisation and Management', 'Industrial Economics']"
"Business Administration and Economics, Computer Science, Computer Science and Engineering, Humanities, Natural Science, Social Science and Behavioural Science","['Humanities', 'Natural Science', 'Business Administration and Economics', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
"Biology, Microbiology, Molecular Biology",['Natural Science']
Bioinformatics,"['Natural Science', 'Computer Science and Engineering']"
"Biology, Global Health, Public Health, Statistics","['Health and Medical Care', 'Natural Science', 'Social Science and Behavioural Science', 'Mathematics']"
"Biology, Global Health, Public Health, Statistics","['Health and Medical Care', 'Natural Science', 'Social Science and Behavioural Science', 'Mathematics']"
Medical Biology,['Natural Science']
Medical Biology,['Natural Science']
Natural Science,['Natural Science']
Natural Science,['Natural Science']
"Biology, Biomedical Laboratory Science, Biomedicine, Medicine, Public Health","['Health and Medical Care', 'Natural Science']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Information Technology,"['Technology', 'Computer Science and Engineering']"
Technology,['Technology']
Information Systems,['Computer Science and Engineering']
Information Systems,['Computer Science and Engineering']
Information Systems,['Computer Science and Engineering']
"Computer Science, Computer Science and Engineering, Information Systems",['Computer Science and Engineering']
"Computer Science, Computer Science and Engineering, Information Systems",['Computer Science and Engineering']
"Computer Science, Computer Science and Engineering, Information Systems",['Computer Science and Engineering']
"Computer Science, Computer Science and Engineering, Information Systems",['Computer Science and Engineering']
Chemical Engineering,['Technology']
Technology,['Technology']
"Project Management, Project Management, Project Management, Project Management","['Health and Medical Care', 'Technology', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Computer Technology, Information Technology","['Technology', 'Computer Science and Engineering']"
Landscape Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
Development Studies,['Social Science and Behavioural Science']
"Industrial Economics, Organisation and Management","['Organisation and Management', 'Industrial Economics']"
"Business Administration, Entrepreneurship, International Business Management, Leadership, Organisation and Management, Project Management","['Technology', 'Business Administration and Economics', 'Organisation and Management', 'Health and Medical Care', 'Leadership', 'Social Science and Behavioural Science']"
"Arts, Design and Media, Design, Entrepreneurship","['Arts, Design and Media', 'Arts', 'Technology', 'Business Administration and Economics', 'Design and Media', 'Health and Medical Care', 'Social Science and Behavioural Science']"
"Entrepreneurship, Product Development, Technology","['Health and Medical Care', 'Technology', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Entrepreneurship, Health and Medical Service Development, Project Management","['Health and Medical Care', 'Technology', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
Social Science and Behavioural Science,['Social Science and Behavioural Science']
Chemical Engineering,['Technology']
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Mathematics,['Mathematics']
"Biology, Horticultural Science","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
European Studies,"['Humanities', 'Social Science and Behavioural Science']"
Mathematics,['Mathematics']
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
Automation Technology,['Technology']
Automation Technology,['Technology']
"Logistics, Technology",['Technology']
Swedish,['Languages']
Linguistics,['Humanities']
"Design, Human-Computer Interaction, Technology","['Arts, Design and Media', 'Technology', 'Computer Science and Engineering']"
"Design, Human-Computer Interaction, Technology","['Arts, Design and Media', 'Technology', 'Computer Science and Engineering']"
"Arts, Design and Media, Design","['Arts, Design and Media', 'Arts', 'Design and Media']"
Technology,['Technology']
Computer Science,['Computer Science and Engineering']
"Design, Human-Computer Interaction, Technology","['Arts, Design and Media', 'Technology', 'Computer Science and Engineering']"
"Design, Human-Computer Interaction, Technology","['Arts, Design and Media', 'Technology', 'Computer Science and Engineering']"
"Design, Human-Computer Interaction, Technology","['Arts, Design and Media', 'Technology', 'Computer Science and Engineering']"
"Design, Human-Computer Interaction, Technology","['Arts, Design and Media', 'Technology', 'Computer Science and Engineering']"
Physics,['Natural Science']
Computer Science,['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
Cultural Studies,['Humanities']
Cultural Studies,['Humanities']
Cultural Studies,['Humanities']
Cultural Studies,['Humanities']
English,['Languages']
"Area Studies, Comparative Literature, Cultural Studies, Gender Studies, Human Ecology, Humanities, Languages","['Humanities', 'Social Science and Behavioural Science', 'Languages']"
"Comparative Literature, Humanities, Languages","['Humanities', 'Languages']"
"Area Studies, Comparative Literature, Cultural Studies, Humanities, Languages","['Humanities', 'Social Science and Behavioural Science', 'Languages']"
"Area Studies, Comparative Literature, Cultural Studies, Humanities, Languages","['Humanities', 'Social Science and Behavioural Science', 'Languages']"
"Comparative Literature, Humanities, Languages, Translation and Interpretation","['Humanities', 'Languages']"
Cultural Studies,['Humanities']
Cultural Studies,['Humanities']
Cultural Studies,['Humanities']
Cultural Studies,['Humanities']
Cultural Studies,['Humanities']
French,['Languages']
French,['Languages']
Cultural Studies,['Humanities']
Cultural Studies,['Humanities']
Economics,['Business Administration and Economics']
Economics,['Business Administration and Economics']
Swedish,['Languages']
"Peace and Development Studies, Political Science, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"European Studies, European Studies, Law and Legal Studies, Peace and Development Studies, Political Science","['Law and Legal Studies', 'Humanities', 'Social Science and Behavioural Science']"
"European Studies, Peace and Development Studies, Political Science","['Humanities', 'Social Science and Behavioural Science']"
Business Administration,['Business Administration and Economics']
"Business Administration, Business Administration and Economics, Economics, International Business Management",['Business Administration and Economics']
"Business Administration, Business Administration and Economics, Economics, International Business Management",['Business Administration and Economics']
Business Administration,['Business Administration and Economics']
"Business Administration, Business Administration and Economics, International Business Management, Leadership, Organisation and Management, Social Science and Behavioural Science","['Organisation and Management', 'Leadership', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Asian Studies, Business Administration, Central and Eastern European Studies, International Business Management, Marketing, Peace and Development Studies","['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Business Administration, International Business Management, Leadership, Organisation and Management, Marketing","['Organisation and Management', 'Leadership', 'Business Administration and Economics']"
Political Science,['Social Science and Behavioural Science']
"Arts, Design and Media, Education, Performing Arts","['Education/Educational Sciences/Didactics', 'Arts, Design and Media', 'Arts', 'Design and Media']"
"Economic History, Social Science and Behavioural Science","['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Economic History, International Business Management, Peace and Development Studies","['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Administration and Management, Business Administration and Economics, Economics, Finance, Social Science and Behavioural Science, Statistics","['Business Administration and Economics', 'Social Science and Behavioural Science', 'Mathematics']"
"Business Administration, Economics, Finance",['Business Administration and Economics']
Business Administration,['Business Administration and Economics']
"Business Administration, Business Administration and Economics, Economics, Finance, International Business Management",['Business Administration and Economics']
"European Studies, European Studies, Peace and Development Studies, Political Science","['Humanities', 'Social Science and Behavioural Science']"
Political Science,['Social Science and Behavioural Science']
,['']
Law and Legal Studies,['Law and Legal Studies']
,['']
Law and Legal Studies,['Law and Legal Studies']
"Business Administration, Business Administration and Economics, International Business Management, Logistics","['Technology', 'Business Administration and Economics']"
Economics,['Business Administration and Economics']
Economics,['Business Administration and Economics']
"Business Administration, Business Administration and Economics, International Business Management, Leadership, Organisation and Management","['Organisation and Management', 'Leadership', 'Business Administration and Economics']"
"Business Administration, Business Administration and Economics, International Business Management, Social Science and Behavioural Science","['Business Administration and Economics', 'Social Science and Behavioural Science']"
"Arts, Design and Media, Business Administration and Economics, History and Theory of Arts, Law and Legal Studies","['Arts, Design and Media', 'Humanities', 'Arts', 'Business Administration and Economics', 'Design and Media', 'Law and Legal Studies']"
"Computer Science, Computer Technology, Information Systems, Information Technology","['Technology', 'Computer Science and Engineering']"
"Computer Science, Computer Technology, Information Systems, Information Technology","['Technology', 'Computer Science and Engineering']"
"Environmental Science, Care and Protection, Environmental Techniques and Energy Technology","['Care and Protection', 'Environmental Science', 'Natural Science', 'Technology']"
"Environmental Science, Care and Protection, Environmental Techniques and Energy Technology","['Care and Protection', 'Environmental Science', 'Natural Science', 'Technology']"
"Education, Educational Sciences/Didactics",['Education/Educational Sciences/Didactics']
"Education, Educational Sciences/Didactics",['Education/Educational Sciences/Didactics']
"Human Geography and Geography, Political Science, Social Anthropology, Social Science and Behavioural Science","['Natural Science', 'Social Science and Behavioural Science']"
"Computer Science and Engineering, Education, Information Technology","['Education/Educational Sciences/Didactics', 'Technology', 'Computer Science and Engineering']"
"Computer Science and Engineering, Education, Information Technology","['Education/Educational Sciences/Didactics', 'Technology', 'Computer Science and Engineering']"
,['']
Journalism,"['Journalism, Communication and Information']"
Journalism,"['Journalism, Communication and Information']"
Political Science,['Social Science and Behavioural Science']
Economic History,"['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Social Anthropology, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Social Anthropology, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Peace and Development Studies, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Social Anthropology, Social Science, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Social Anthropology, Social Science, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Social Anthropology, Social Science, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Social Anthropology, Social Science, Social Science and Behavioural Science",['Social Science and Behavioural Science']
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
"European Studies, European Studies, Peace and Development Studies, Political Science","['Humanities', 'Social Science and Behavioural Science']"
Peace and Development Studies,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
"Economics, Political Science, Social Science and Behavioural Science","['Business Administration and Economics', 'Social Science and Behavioural Science']"
"Peace and Development Studies, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Peace and Development Studies, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Peace and Development Studies, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Global Studies, Peace and Development Studies",['Social Science and Behavioural Science']
"Peace and Development Studies, Political Science",['Social Science and Behavioural Science']
"Agricultural Science, Rural Development","['Agriculture, Horticulture, Forestry and Fishery', 'Social Science and Behavioural Science']"
Social Work and Welfare,"['Social Work and Welfare', 'Social Science and Behavioural Science']"
Environmental Techniques and Energy Technology,"['Technology', 'Natural Science']"
Tourism and Recreation Studies,['Social Science and Behavioural Science']
Tourism and Recreation Studies,['Social Science and Behavioural Science']
"Business Administration, International Business Management, Tourism and Recreation Studies","['Business Administration and Economics', 'Social Science and Behavioural Science']"
Economics,['Business Administration and Economics']
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
Computer Science and Engineering,['Computer Science and Engineering']
Electrical Engineering,['Technology']
Electrical Engineering,['Technology']
"Mechanical Engineering, Technology",['Technology']
Computer Science,['Computer Science and Engineering']
Economic History,"['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
Economic History,"['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
Economic History,"['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
Physics,['Natural Science']
Physics,['Natural Science']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
"Gender Studies, Sociology","['Humanities', 'Social Science and Behavioural Science']"
"Cultural Studies, Gender Studies, Gender Studies, Humanities, Social Science and Behavioural Science, Sociology","['Humanities', 'Social Science and Behavioural Science']"
"Cultural Studies, Gender Studies","['Humanities', 'Social Science and Behavioural Science']"
"Disability Studies, Health and Medical Care, Nursing Science and Nursing, Psychology, Social Work and Welfare, Sociology, Special Education","['Health and Medical Care', 'Social Work and Welfare', 'Education/Educational Sciences/Didactics', 'Social Science and Behavioural Science']"
"Disability Studies, Education, Health and Medical Care, Nursing Science and Nursing, Psychology, Social Work and Welfare, Sociology","['Education/Educational Sciences/Didactics', 'Social Work and Welfare', 'Social Science and Behavioural Science', 'Health and Medical Care']"
Electrical Engineering,['Technology']
English,['Languages']
"English, Languages",['Languages']
"English, Languages",['Languages']
English,['Languages']
Mathematics,['Mathematics']
Political Science,['Social Science and Behavioural Science']
Design,"['Arts, Design and Media']"
Astronomy,['Natural Science']
